"sample","latitude","longitude","date","time","site","location","successful.count","fov.Limited","fov.Open","broad.Bryozoa","broad.Consolidated","broad.Macroalgae","broad.Seagrasses","broad.Sponges","broad.Unconsolidated"
"01",34.128599,114.930865,20200602,09:10:00,1,"SouthWest","Y",12.5,87.5,0,6.89655172413793,44.8275862068966,0,48.2758620689655,0
"02",34.125316,114.928838,20200602,09:18:00,1,"SouthWest","Y",5,95,0,0,75,0,25,0
"03",34.126906,114.925945,20200602,09:27:00,1,"SouthWest","Y",30,70,0,0,92.8571428571429,7.14285714285714,0,0
"04",34.122634,114.920337,20200602,09:44:00,1,"SouthWest","Y",5,95,0,30.3030303030303,0,0,0,69.6969696969697
"05",34.131497,114.915753,20200602,09:57:00,1,"SouthWest","Y",5,95,0,0,91.8918918918919,0,5.40540540540541,2.7027027027027
"06",34.132842,114.912405,20200602,10:06:00,1,"SouthWest","Y",5,95,0,12.5,59.375,0,6.25,21.875
"07",34.134771,114.910241,20200602,10:16:00,1,"SouthWest","Y",5,95,0,0,75,0,0,25
"08",34.129352,114.911755,20200602,13:48:00,1,"SouthWest","Y",5,95,0,18.4210526315789,26.3157894736842,0,55.2631578947368,0
"09",34.119541,114.916105,20200602,11:45:00,1,"SouthWest","Y",7.5,92.5,0,3.03030303030303,30.3030303030303,0,0,66.6666666666667
"10",34.117294,114.918685,20200602,11:51:00,1,"SouthWest","Y",5,95,3.2258064516129,0,67.741935483871,0,19.3548387096774,9.67741935483871
"11",34.117752,114.92306,20200602,13:55:00,1,"SouthWest","Y",5,95,0,13.5135135135135,27.027027027027,0,8.10810810810811,51.3513513513513
"12",34.132262,114.928545,20200602,12:03:00,1,"SouthWest","Y",20,80,0,0,50,21.4285714285714,28.5714285714286,0
"13",34.128506,114.930547,20200602,12:09:00,1,"SouthWest","Y",12.8205128205128,87.1794871794872,0,13.7931034482759,31.0344827586207,0,24.1379310344828,31.0344827586207
"14",34.128381,114.925457,20200602,12:16:00,1,"SouthWest","Y",2.5,97.5,0,0,78.3783783783784,18.9189189189189,2.7027027027027,0
"15",34.125012,114.91032,20200602,14:09:00,1,"SouthWest","Y",5,95,0,2.85714285714286,54.2857142857143,0,25.7142857142857,17.1428571428571
"16",34.126181,114.906548,20200602,14:14:00,1,"SouthWest","Y",5,95,0,8.57142857142857,80,2.85714285714286,8.57142857142857,0
"17",34.132142,114.92083,20200602,14:20:00,1,"SouthWest","Y",5,95,0,6.45161290322581,64.5161290322581,0,0,29.0322580645161
"18",34.128679,114.924078,20200602,14:25:00,1,"SouthWest","Y",2.5,97.5,0,0,92.5925925925926,0,7.40740740740741,0
"19",34.122542,114.927818,20200602,14:30:00,1,"SouthWest","Y",0,100,0,5.12820512820513,41.025641025641,0,15.3846153846154,38.4615384615385
"20",34.130219,114.820233,20200603,08:16:00,1,"SouthWest","Y",12.5,87.5,0,41.9354838709677,35.4838709677419,0,12.9032258064516,9.67741935483871
"21",34.128151,114.817448,20200603,08:24:00,1,"SouthWest","Y",7.5,92.5,0,39.2857142857143,42.8571428571429,0,10.7142857142857,7.14285714285714
"22",34.126271,114.819552,20200603,08:32:00,1,"SouthWest","Y",2.5,97.5,0,6.06060606060606,69.6969696969697,0,6.06060606060606,18.1818181818182
"23",34.124217,114.817017,20200603,08:38:00,1,"SouthWest","Y",7.89473684210526,92.1052631578947,5.88235294117647,29.4117647058824,35.2941176470588,2.94117647058824,20.5882352941176,5.88235294117647
"24",34.118739,114.826402,20200603,08:47:00,1,"SouthWest","Y",7.5,92.5,0,40,24,0,32,4
"25",34.116829,114.828432,20200603,08:54:00,1,"SouthWest","Y",5,95,0,37.037037037037,44.4444444444444,0,7.40740740740741,11.1111111111111
"26",34.120881,114.828907,20200603,09:02:00,1,"SouthWest","Y",0,100,5,35,32.5,0,10,17.5
"27",34.121824,114.832898,20200603,10:19:00,1,"SouthWest","Y",0,100,0,45,15,0,7.5,32.5
"28",34.112916,114.852137,20200603,10:27:00,1,"SouthWest","Y",0,100,0,12.8205128205128,84.6153846153846,0,2.56410256410256,0
"29",34.111084,114.855648,20200603,10:31:00,1,"SouthWest","Y",5,95,0,0,88,4,0,8
"30",34.112094,114.85946,20200603,10:37:00,1,"SouthWest","Y",7.5,92.5,0,6.25,78.125,3.125,12.5,0
"31",34.116007,114.860738,20200603,10:42:00,1,"SouthWest","Y",2.5,97.5,0,30.5555555555556,8.33333333333333,0,2.77777777777778,58.3333333333333
"32",34.130076,114.86109,20200603,10:49:00,1,"SouthWest","Y",5.26315789473684,94.7368421052632,0,2.7027027027027,67.5675675675676,10.8108108108108,0,18.9189189189189
"33",34.133067,114.8627,20200603,10:54:00,1,"SouthWest","Y",5,95,0,30,26.6666666666667,0,3.33333333333333,40
"34",34.131334,114.866053,20200603,12:18:00,1,"SouthWest","Y",NA,NA,NA,NA,NA,NA,NA,NA
"35",34.134801,114.869348,20200603,12:23:00,1,"SouthWest","Y",NA,NA,NA,NA,NA,NA,NA,NA
"36",34.130484,114.878263,20200603,12:29:00,1,"SouthWest","Y",15,85,0,35.2941176470588,0,0,0,64.7058823529412
"37",34.126354,114.878937,20200603,12:34:00,1,"SouthWest","Y",5,95,0,14.2857142857143,67.8571428571429,3.57142857142857,0,14.2857142857143
"38",34.127912,114.883938,20200603,12:39:00,1,"SouthWest","Y",2.5,97.5,0,3.44827586206897,41.3793103448276,0,0,55.1724137931034
"39",34.132294,114.884797,20200603,12:42:00,1,"SouthWest","Y",5,95,0,5.55555555555556,61.1111111111111,5.55555555555556,0,27.7777777777778
"40",34.133669,114.880443,20200603,12:46:00,1,"SouthWest","Y",0,100,3.03030303030303,12.1212121212121,72.7272727272727,9.09090909090909,3.03030303030303,0
"08 - failed",34.129336,114.911822,20200602,11:36:00,1,"SouthWest","N",NA,NA,NA,NA,NA,NA,NA,NA
"11 - failed",34.117769,114.923158,20200602,11:55:00,1,"SouthWest","N",NA,NA,NA,NA,NA,NA,NA,NA
